(41, 'Đặng Gia Tường', 19, 'Công nghệ thông tin', 'Nữ', '2001-9-13', 'Đà Nẵng', '0237606095', 'rlynietbo@ydw.wjk'),
(42, 'Lê Đức Nam', 19, 'Công nghệ thông tin', 'Nam', '2002-9-5', 'Đà Nẵng', '0952395195', 'vcepmolpegx@ihpaox.kcs'),
(43, 'Phạm Ái Nhuận', 19, 'Kinh tế', 'Nam', '2002-6-15', 'Khánh Hoà', '0519929477', 'vnodinynobyx@ndfsxf.wup'),
(44, 'Ngô Công Hoàng', 19, 'Công nghệ thông tin', 'Nam', '2000-7-1', 'Nghệ An', '0360702591', 'hhahlstkrgw@bcsr.ioq'),
(45, 'Trần An Hoàng', 20, 'Sinh học', 'Nữ', '2002-11-28', 'Nghệ An', '0722482411', 'ndrqwfcpq@uogxb.yki'),
(46, 'Lê Anh Khánh', 18, 'Kiến trúc', 'Nữ', '2002-6-1', 'Lâm Đồng', '0593289085', 'llegtwpiavoj@fii.msa'),
(47, 'Đặng Khải Phát', 21, 'Kinh tế', 'Nam', '2003-1-10', 'Quảng Ngãi', '0762302136', 'cbhgxewsc@ksdc.dab'),
(48, 'Phan Anh Khánh', 20, 'Công nghệ thông tin', 'Nữ', '2000-7-3', 'Thừa Thiên-Huế', '0297744122', 'bastozrrprq@mjngqs.qrg'),
(49, 'Trần Khải Tùng', 18, 'Kiến trúc', 'Nữ', '2001-12-10', 'Quảng Ngãi', '0225633697', 'tyuttrbhylvv@kph.fja'),
(50, 'Phạm An Nhuận', 18, 'Kinh tế', 'Nam', '2001-1-30', 'Quảng Bình', '0620384018', 'yuirphqj@emqdd.kod'),
(51, 'Phạm Hoài Nam', 19, 'Công nghệ thông tin', 'Nữ', '2001-4-20', 'Lâm Đồng', '0152132952', 'bpstmqxeukz@cwnids.rdk'),
(52, 'Phan Khải Hoàng', 19, 'Công nghệ thông tin', 'Nữ', '2000-1-1', 'Quảng Ngãi', '0861102175', 'hqpqsujsw@mnnvif.qnj'),
(53, 'Trần Khải Tùng', 20, 'Sinh học', 'Nữ', '2002-12-23', 'Phú Yên', '0559009682', 'wycxejenvb@dpmi.iny'),
(54, 'Vũ Hoài Phát', 21, 'Kinh tế', 'Nam', '2000-12-6', 'Lâm Đồng', '0318549431', 'blzhifgcd@vfpqx.ffv'),
(55, 'Lê Bảo Hoàng', 18, 'Kiến trúc', 'Nam', '2000-8-18', 'Phú Yên', '0713621569', 'usqzjjbpgwkn@mmlvl.evs'),
